Jogador;Temporada;Equipe;Liga;Posição;Jogos;Jogos como Titular;Minutos;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;TRP-DOU
Taj Gibson;39;CHO;NBA;C;31;11;11.0;1.3;2.5;0.50;0.0;0.1;0.50;1.2;2.5;0.50;0.51;0.4;0.5;0.69;1.4;1.9;3.3;0.5;0.3;0.5;0.7;1.5;2.9;
Jusuf Nurkić;30;CHO;NBA;C;21;6;17.0;2.9;6.0;0.48;0.4;1.6;0.27;2.4;4.4;0.55;0.52;1.4;2.2;0.62;1.4;5.0;6.4;2.5;0.6;0.7;1.3;1.8;7.5;
Seth Curry;34;CHO;NBA;SG;64;12;15.4;2.3;5.0;0.47;1.2;2.6;0.45;1.1;2.3;0.49;0.58;0.4;0.5;0.85;0.4;1.3;1.6;0.9;0.4;0.1;0.5;0.9;6.2;
Miles Bridges;28;NYK;NBA;SF;76;76;37.6;7.3;14.7;0.50;2.1;5.8;0.35;5.3;8.9;0.59;0.57;1.1;1.4;0.80;0.9;2.3;3.2;3.7;0.9;0.5;1.6;1.5;17.8;
Josh Okogie;26;CHO;NBA;SG;10;2;18.8;2.6;6.5;0.40;1.0;2.8;0.36;1.6;3.7;0.43;0.48;2.2;2.7;0.81;0.9;1.9;2.8;1.2;2.3;0.5;1.0;1.4;8.4;
Grant Williams;26;CHO;NBA;PF;16;7;29.9;3.4;7.7;0.44;1.7;4.6;0.36;1.7;3.1;0.55;0.55;1.9;2.3;0.84;1.1;4.0;5.1;2.3;1.1;0.8;1.8;2.9;10.4;
DaQuan Jeffries;27;CHO;NBA;SG;41;15;22.0;2.5;6.1;0.41;1.2;3.4;0.35;1.3;2.7;0.48;0.51;0.5;0.6;0.83;0.8;2.0;2.8;1.1;0.6;0.6;0.8;2.2;6.7;
LaMelo Ball;23;CHO;NBA;PG;47;47;32.0;8.6;21.3;0.41;3.8;11.2;0.34;4.8;10.1;0.48;0.49;4.1;4.9;0.84;1.0;3.9;4.9;7.4;1.1;0.3;3.6;3.3;25.2;
Tre Mann;23;CHO;NBA;PG;13;0;24.5;5.4;12.4;0.43;1.8;4.6;0.40;3.5;7.8;0.46;0.51;1.5;1.6;0.91;0.9;2.0;2.9;3.0;0.5;0.3;1.9;1.8;14.1;
Mark Williams;33;CLE;NBA;PG;41;14;18.2;3.2;7.4;0.44;0.9;2.5;0.35;2.3;4.9;0.48;0.50;0.9;1.0;0.91;0.1;1.6;1.8;2.4;0.3;0.1;1.4;1.5;8.2;
Wendell Moore;23;CHO;NBA;SG;13;0;17.6;2.2;4.8;0.47;0.5;1.5;0.37;1.7;3.3;0.51;0.52;0.4;0.6;0.62;1.3;2.2;3.5;1.1;0.6;0.2;1.0;1.2;5.4;
Moussa Diabaté;23;CHO;NBA;C;67;8;17.2;2.2;3.7;0.60;0.0;0.1;0.00;2.2;3.7;0.61;0.60;0.9;1.6;0.59;2.7;3.4;6.1;0.8;0.6;0.6;0.8;1.5;5.4;
Brandon Miller;35;MIN;NBA;C;15;1;9.7;0.6;1.8;0.33;0.5;1.0;0.47;0.1;0.8;0.17;0.46;0.7;0.8;0.83;0.3;1.0;1.3;1.6;0.3;0.1;0.8;0.7;2.3;
Nick Smith;20;CHO;NBA;SG;56;25;22.8;3.7;9.5;0.39;1.7;5.0;0.33;2.0;4.4;0.45;0.47;0.6;0.7;0.92;0.2;1.8;2.0;2.2;0.3;0.1;1.4;1.3;9.6;
